0.0,1.765,0.4,-0.8,0.4,-1.758,0.0,0.547,0.4,-0.8,0.4,-1.765
0.0,3.467,0.399,-0.8,0.407,-3.451,0.0,1.075,0.401,-0.8,0.399,-3.467
0.0,4.977,0.396,-0.8,0.423,-4.948,0.0,1.544,0.402,-0.8,0.397,-4.977
0.0,6.222,0.392,-0.8,0.442,-6.174,0.0,1.93,0.403,-0.8,0.397,-6.223
0.0,7.228,0.389,-0.8,0.456,-7.162,0.0,2.242,0.403,-0.8,0.396,-7.23
0.0,8.041,0.388,-0.8,0.462,-7.962,0.0,2.494,0.403,-0.8,0.396,-8.043
0.0,8.7,0.388,-0.8,0.462,-8.614,0.0,2.697,0.403,-0.8,0.397,-8.698
0.0,9.286,0.388,-0.8,0.462,-9.194,0.0,2.86,0.402,-0.8,0.397,-9.223
0.0,9.863,0.39,-0.8,0.462,-9.762,0.0,2.99,0.402,-0.8,0.398,-9.64
0.0,10.462,0.395,-0.8,0.459,-10.351,0.0,3.091,0.401,-0.8,0.399,-9.969
0.0,11.097,0.406,-0.8,0.452,-10.972,0.0,3.17,0.4,-0.8,0.4,-10.221
0.0,11.758,0.421,-0.8,0.441,-11.619,0.0,3.228,0.398,-0.8,0.401,-10.408
0.0,12.417,0.441,-0.8,0.423,-12.265,0.0,3.268,0.397,-0.8,0.403,-10.537
0.0,13.029,0.464,-0.8,0.4,-12.866,0.0,3.291,0.395,-0.8,0.404,-10.613
0.0,13.544,0.49,-0.8,0.375,-13.374,0.0,3.3,0.393,-0.8,0.406,-10.64
0.0,13.916,0.515,-0.8,0.349,-13.74,0.0,3.293,0.391,-0.8,0.408,-10.619
0.0,14.116,0.538,-0.8,0.327,-13.935,0.0,3.271,0.389,-0.8,0.411,-10.548
0.0,14.136,0.557,-0.8,0.312,-13.949,0.0,3.233,0.386,-0.8,0.413,-10.426
0.0,13.988,0.57,-0.8,0.302,-13.794,0.0,3.178,0.383,-0.8,0.416,-10.247
0.0,13.698,0.577,-0.8,0.299,-13.498,0.0,3.102,0.38,-0.8,0.419,-10.003
0.0,13.295,0.579,-0.8,0.3,-13.094,0.0,3.003,0.376,-0.8,0.422,-9.685
0.0,12.808,0.577,-0.8,0.304,-12.61,0.0,2.878,0.371,-0.8,0.427,-9.28
0.0,12.256,0.572,-0.8,0.31,-12.066,0.0,2.719,0.365,-0.8,0.433,-8.769
0.0,11.63,0.565,-0.8,0.317,-11.45,0.0,2.522,0.358,-0.8,0.44,-8.132
0.0,10.857,0.557,-0.8,0.326,-10.69,0.0,2.277,0.35,-0.8,0.447,-7.342
0.0,9.897,0.547,-0.8,0.336,-9.745,0.0,1.973,0.341,-0.8,0.454,-6.363
